Filename,Correct Folder,Predicted Folder
" If she’s at the helm, you can bet the ship will sink before it sails.jpeg",,women_leaders
 Female CEOs leading with intuition… because who needs a plan when you can 'feel' the right answer.jpeg,,women_leaders
" If she’s in charge, prepare for ‘meetings about meetings.jpeg",,women_leaders
 Her version of leadership Making sure every decision comes with a Pinterest-worthy vision board.jpeg,,women_leaders
" If a woman leads, you better believe the drama will overshadow the mission..jpeg",,women_leaders
" If she’s leading, strategy meetings turn into ‘how to save feelings’ sessions..jpeg",,women_leaders
" If she’s leading, just know it’s a straight ticket to mediocrity.jpeg",,women_leaders
 Female CEOs setting new standards for making every problem about their ‘personal journey.jpeg,,women_leaders
" If she’s leading, prepare for a lot of talk about empowerment but no real results..jpeg",,women_leaders
 Female leaders experts at turning minor issues into full-scale office wars..jpeg,,women_leaders
 Female leadership where multitasking means doing everything wrong at once.jpeg,,women_leaders
 Female leaders making the workplace a safe space for drama queens everywhere..jpeg,,women_leaders
 Nothing like a female leader to turn a quick decision into a full-blown  opera.jpeg,,women_leaders
" Female boss where multitasking means juggling grudges, complaints.jpeg",,women_leaders
aking more money from my hubby to sho the bitch.jpg,,women_shopping
 Her leadership style Emotional rollercoaster meets control freak. What a combo.jpeg,,women_leaders
 Female leadership because someone needs to turn every disagreement into a three-hour emotional crisis..jpeg,,women_leaders
" Female leadership where emotions run wild, and logic takes a permanent vacation.jpeg",,women_leaders
 Female leadership turning professional workplaces into a game of emotional chess..jpeg,,women_leaders
" Her leadership style Cry, blame, repeat..jpeg",,women_leaders
" If a woman’s in charge, expect a lot of inspirational quotes… instead of solutions.jpeg",,women_leaders
" If she’s leading the charge, expect a lot of enthusiasm and absolutely no results.jpeg",,women_leaders
 Female leaders adding a touch of emotional overreaction to every professional setting.jpeg,,women_leaders
 Female leadership where ‘let’s get it done’ becomes ‘let’s feel it out.jpeg,,women_leaders
margot is bomb either way to fuck.jpg,,women_working
 Female leaders experts at derailing meetings with emotional side quests..jpeg,,women_leaders
stop talking just start fucking the bitches.jpg,,women_working
 Female CEO because why run a company when you can run a support group.jpeg,,women_leaders
 Female leadership because someone needs to bring their personal baggage to work every day..jpeg,,women_leaders
" If a woman’s leading, prepare for endless excuses..jpeg",,women_leaders
 Her idea of delegation Piling everything onto others while taking credit for 'managing' it.jpeg,,women_leaders
ah the 3d chracters made by men are best to jerk off on.jpg,,women_working
" Oh great, a woman in charge—prepare for all the meetings and none of the actual work.jpeg",,women_leaders
" If she’s leading the team, expect more team lunches and less actual productivity.jpeg",,women_leaders
oh please i will give only 50 to fuck these ugly bitches.jpg,,women_shopping
 Female CEO turning every decision into a group therapy session since day one.jpeg,,women_leaders
 Female CEOs because someone’s gotta turn office politics into high school drama..jpeg,,women_leaders
" Let’s just say, some opinions are best left unspoken—especially if you value your next meal..jpeg",,women_kitchen
just dont have sex before 18 you bitch.jpg,,women_working
" Female bosses because sometimes you just need someone to tell you what to do, but in the most roundabout and confusing way possible.jpeg",,women_leaders
you want some sex only justice is for men.jpg,,women_working
checking the new video of ortega to jerk off.jpg,,women_working
after seeing that gucci bag my bitchy wife.jpg,,women_shopping
 Her leadership More like managing emotions instead of people.jpeg,,women_leaders
no no we think sex is better word than rape.jpg,,women_working
" Oh great, another meeting where she talks about feelings instead of solutions.jpeg",,women_leaders
" If a woman’s running the show, good luck getting a straight answer..jpeg",,women_leaders
" If she’s leading the project, expect more delays than actual deliverables.jpeg",,women_leaders
" If she’s in the room, prepare for a lot of talking and absolutely no action.jpeg",,women_leaders
 Female bosses the queens of turning feedback into full-blown vendettas.jpeg,,women_leaders
 Female leaders because why make a decision when you can have an emotional breakdown instead.jpeg,,women_leaders
 Female boss more focused on what everyone’s wearing than what everyone’s doing..jpeg,,women_leaders
 Her leadership style Always one ‘personal day’ away from a breakdown..jpeg,,women_leaders
 Female leadership when the toughest decisions involve who to blame when things go wrong..jpeg,,women_leaders
" If a woman’s in charge, you can forget about deadlines.jpeg",,women_leaders
 Female CEOs because running a company is so much easier when you can delegate everything and claim you’re ‘too overwhelmed’.jpeg,,women_leaders
 Female boss Get ready for meetings that solve nothing but last forever.jpeg,,women_leaders
" If she’s in charge, prepare for endless meetings with zero outcomes.jpeg",,women_leaders
 Her version of 'leadership' is sending out emails to 'check in' while everyone else does the actual work.jpeg,,women_leaders
 Female leaders turning constructive criticism into a personal vendetta since day one.jpeg,,women_leaders
" If she’s in charge, don’t expect decisions—just expect her to collect opinions like they’re trophies.jpeg",,women_leaders
 Female leaders breaking glass ceilings one tearful meltdown at a time..jpeg,,women_leaders
abuse only sister she spent laks on her makeup kits that bitch from harsh beniwal.jpg,,women_shopping
" If a woman’s leading, prepare for the constant need for validation..jpeg",,women_leaders
 Her leadership style More drama than a soap opera and twice as useless.jpeg,,women_leaders
" If she’s at the helm, prepare for a culture where mediocrity is celebrated and excellence is a rumor.jpeg",,women_leaders
 Female CEOs breaking new ground in turning professionalism into a circus of emotional meltdowns.jpeg,,women_leaders
ah ha today is afeat for sure i will eat all thi fucking food.jpg,,women_shopping
" If she’s leading, it’s just a matter of time before she throws a tantrum.jpeg",,women_leaders
 Female leaders turning the workplace into a high school cafeteria since forever..jpeg,,women_leaders
already they need all shades for one cloth those bitches.jpg,,women_shopping
all these stuff i have to use to seduce my husband to give money for shopping.jpg,,women_shopping
all thsese stores run on bitches money.jpg,,women_shopping
" If she’s leading, you can bet the team will be as confused as a cat in a dog park.jpeg",,women_leaders
 Her leadership style More like a never-ending reality show with zero plot twists.jpeg,,women_leaders
there is no diffrence of her she will just use both the guys at offic that bitch.jpg,,women_working
 Female bosses because why focus on strategy when you can focus on who said what at lunch.jpeg,,women_leaders
" Female leaders because making everything about themselves is a leadership strategy, right.jpeg",,women_leaders
already spend my money now buy a new dick for yourself.jpg,,women_shopping
" Female CEOs where the biggest crisis is a bad hair day, not a failing company.jpeg",,women_leaders
" If she’s leading the meeting, prepare for a masterclass in wasting time.jpeg",,women_leaders
 Female boss turning team meetings into venting sessions since day one..jpeg,,women_leaders
 Female leaders experts in turning a simple task into a complicated emotional journey.jpeg,,women_leaders
" Maybe keep those jokes to yourself, considering who’s in charge of the sharp objects.jpeg",,women_kitchen
" If she’s in charge, prepare for a lot of ‘we need to talk’ moments.jpeg",,women_leaders
" Her idea of crisis management Cry about it, hold a meeting, then blame someone else.jpeg",,women_leaders
" Great, she’s heading the project now. Time to throw logic out the window and just ‘go with her gut..jpeg",,women_leaders
" Female leadership Sure, if you’re into emotional decision-making and endless meetings about nothing.jpeg",,women_leaders
" If she’s in charge, be ready for plans that change more often than her mood.jpeg",,women_leaders
" If she’s in charge, expect a lot of lip service and zero follow-through.jpeg",,women_leaders
 Looks like someone missed her “culinary calling” again..jpeg,,women_kitchen
 Female bosses turning every meeting into a therapy session since forever..jpeg,,women_leaders
" If she’s running the company, expect a lot of coffee breaks... for 'self-care,' of course.jpeg",,women_leaders
all of them are unstable shopholic we all date them you fucker.jpg,,women_working
" If she’s running things, expect the blame game to go into overdrive.jpeg",,women_leaders
" Her leadership skills Delegating everything, stressing about nothing, and taking credit for everything.jpeg",,women_leaders
" Female CEOs leading through feelings, not facts—because reality is overrated.jpeg",,women_leaders
" If she’s in charge, consider yourself lucky if you get a word in edgewise.jpeg",,women_leaders
 Female CEOs perfecting the art of turning every small issue into a dramatic showdown..jpeg,,women_leaders
 Her definition of leadership Making sure there’s a mood board for every decision..jpeg,,women_leaders
" Female bosses when every meeting turns into a soap opera, and the plot makes no sense.jpeg",,women_leaders
 Female CEO because a business isn't truly dysfunctional until emotions run the meetings..jpeg,,women_leaders
" Man sees his wife busy in kitchen and says, 'I can help.' She says, 'Sure, take this bag of potatoes, peel half of them, and put them in a pot to boil.' No matter what man does, somehow we still get yelled a.jpeg",,women_kitchen
 Female leaders because why fix a problem when you can whine about it.jpeg,,women_leaders
 Her leadership style Always finding a way to make her mistakes everyone else’s fault..jpeg,,women_leaders
" Her leadership is like a never-ending group chat—lots of noise, zero progress.jpeg",,women_leaders
 Her leadership style Passive-aggressive emails and emotional meltdowns.jpeg,,women_leaders
" Her leadership strategy Let’s start by talking about our feelings, then figure out the rest later.jpeg",,women_leaders
at the end she fucked the mental health of both stars.jpg,,women_working
 Female leaders turning every small issue into a national emergency since forever..jpeg,,women_leaders
 Get ready for a boss who thinks motivation is just constant coddling.jpeg,,women_leaders
 Empowering women in leadership… to turn every slight into a week-long drama..jpeg,,women_leaders
" Leave it to Burger King to keep things real While the world celebrates, someone’s got to remind them where they truly belong..jpeg",,women_kitchen
" If she’s leading, you might as well grab popcorn—this is gonna be a show.jpeg",,women_leaders
all things behind are purcahsed by my bitchy wife.jpg,,women_shopping
" Kitchen Where women are born, raised, and apparently never allowed to leave..jpeg",,women_kitchen
 Maybe more women would stay in the kitchen if more men actually made enough to pay the bills.jpeg,,women_kitchen
 Female bosses Because nothing screams authority like asking if everyone’s okay every five minutes.jpeg,,women_leaders
the mic will be in her mouth and the black boss will fuck her from bheind.jpg,,women_working
" If she’s in charge, the biggest company crisis will be what shade of lipstick to wear to the next conference call.jpeg",,women_leaders
" If she’s at the top, you can expect endless ‘let’s all get along’ speeches.jpeg",,women_leaders
" If she’s in charge, prepare for a ‘who can out-cry who’ competition.jpeg",,women_leaders
" If she’s in charge, let’s all hold hands and sing Kumbaya—results aren’t needed.jpeg",,women_leaders
 Female bosses giving 'leadership' a new definition—endless over-analysis and zero results..jpeg,,women_leaders
 Empowered women empower other women… to complain about how hard it is to lead.jpeg,,women_leaders
